dataset,ntaxa,ntips,phylo,method1,model1,MkDG,MkDP,MkG,MkP,MkS,method2,model2,scmDG,scmDP,scmG,scmP,scmS
Olivier et al 3 state,123,123,Kuderna et al,Mk,fitSYM,0,0,0.03451042165340441,0.7295528712318741,0.23593670711472156,SCM,scmSYM,0,0,0.03,0.71,0.26
Olivier et al 3 state + outgroup,125,125,Kuderna et al,Mk,fitSYM,0,0,0.4621321038273032,0.49759113136546895,0.04027676480722778,SCM,scmSYM,0,0,0.47,0.52,0.01
Kappeler & Pozzi 3 state,136,136,Kuderna et al,Mk,fitSYM,0,0,0.028967992797963558,0.6728875293231816,0.29814447787885484,SCM,scmSYM,0,0,0.04,0.69,0.27
Kappeler & Pozzi 3 state + outgroup,138,138,Kuderna et al,Mk,fitSYM,0,0,0.5263273298507367,0.4345718003282667,0.03910086982099658,SCM,scmSYM,0,0,0.51,0.47,0.02
Lukas & Clutton-Brock 3 state,134,134,Kuderna et al,Mk,fitSYM,0,0,0.0013001520856503062,0.03782897133244388,0.9608708765819058,SCM,scmSYM,0,0,0.02,0,0.98
Lukas & Clutton-Brock 3 state + outgroup,135,135,Kuderna et al,Mk,fitARD,0,0,0.19195078109896332,0.8080492189010366,0,SCM,scmSYM,0,0,0.14,0.7,0.16
Müller & Thalmann 3 state,117,117,Kuderna et al,Mk,fitSYM,0,0,0.9931245759551485,0.006875423278909787,7.659417172995307e-10,SCM,scmSYM,0,0,0.99,0.01,0
Müller & Thalmann 3 state + outgroup,119,119,Kuderna et al,Mk,fitSYM,0,0,0.9630870755326834,0.03690592648244023,6.997984876446724e-6,SCM,scmSYM,0,0,0.91,0.09,0
Müller & Thalmann 5 state,117,117,Kuderna et al,Mk,fitSYM,0.14424756479078252,2.0165051161000926e-4,0.06100289383849901,0.7945478908591085,0,SCM,scmSYM,0.19,0,0.08,0.73,0
Müller & Thalmann 5 state + outgroup,119,119,Kuderna et al,Mk,fitSYM,0.013014171004841339,5.033008312081129e-4,0.6576174671871324,0.3288650609768182,0,SCM,scmSYM,0.01,0,0.71,0.28,0
