Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Allocebus,Allocebus_trichotis,Hairy-eared Dwarf Lemur,Lemuroidea,none,FFMM,1,FFMM,solitary
Cercopithecus,Cercopithecus_preussi,Preuss's Monkey,Cercopithecoidea,wp,MFF,0.5,FFMM,one
Alouatta,Alouatta_caraya,Paranguyan Howler Monkey,Ceboidea,both,FFMM,0.469387755,FFMM,groups
Alouatta,Alouatta_discolor,Spix's Howler Monkey,Ceboidea,none,MFF,1,MFF,groups
Alouatta,Alouatta_guariba,Brown Howler Monkey,Ceboidea,wp,MFF,0.666666667,MFF,groups
Alouatta,Alouatta_palliata,Mantled Howler Monkey,Ceboidea,both,FFMM,0.813559322,FFMM,groups
Alouatta,Alouatta_pigra,Central American Black Howler Monkey,Ceboidea,both,FFMM,0.448275862,FFMM,groups
Alouatta,Alouatta_sara,Bolivian Red Howler Monkey,Ceboidea,wp,MFF,0.407407407,FFMM,groups
Alouatta,Alouatta_seniculus,Colombian Red Howler Monkey,Ceboidea,both,FFMM,0.894736842,FFMM,groups
Aotus,Aotus_azarae,Azara's Night Monkey,Ceboidea,none,MF,1,MF,NA
Aotus,Aotus_nigriceps,Black-headed Night Monkey,Ceboidea,none,MF,1,MF,groups
Aotus,Aotus_zonalis,Panamanian Night Monkey,Ceboidea,none,MF,1,MF,groups
Ateles,Ateles_belzebuth,White-bellied Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Ateles,Ateles_chamek,Black Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Ateles,Ateles_geoffroyi,Central American Spider Monkey,Ceboidea,both,FFMM,0.884615385,FFMM,groups
Ateles,Ateles_hybridus,Variegated Spider Monkey,Ceboidea,wp,FFMM,0.75,FFMM,groups
Ateles,Ateles_marginatus,White-Whiskered Spider Monkey,Ceboidea,wp,FFMM,0.6,FFMM,groups
Avahi,Avahi_laniger,Eastern Wooly Lemur,Lemuroidea,none,MF,1,MF,solitary_groups
Avahi,Avahi_meridionalis,Southern Wooly Lemur,Lemuroidea,none,MF,1,MF,unknown
Avahi,Avahi_occidentalis,Western Wooly Lemur,Lemuroidea,none,MF,1,MF,unknown
Brachyteles,Brachyteles_arachnoides,Southern Muriqui,Ceboidea,none,FFMM,1,FFMM,groups
Brachyteles,Brachyteles_hypoxanthus,Northern Muriqui,Ceboidea,none,FFMM,1,FFMM,groups
Cacajao,Cacajao_calvus,Red Uakari Monkey / Bald Uakari,Ceboidea,none,FFMM,1,FFMM,groups
Cacajao,Cacajao_melanocephalus,Golden Backed Uakari,Ceboidea,both,FFMM,0.688,FFMM,groups
Callicebus,Callicebus_coimbrai,Coimbra-Filho's Titi Monkey,Ceboidea,none,MF,1,MF,groups
Callicebus,Callicebus_melanochir,Southern Bahian Titi Monkey,Ceboidea,none,MF,1,MF,groups
Callicebus,Callicebus_nigrifrons,Black-fronted Titi Monkey,Ceboidea,none,MF,1,MF,groups
Callicebus,Callicebus_personatus,Masked Titi Monkey,Ceboidea,none,MF,1,MF,groups
Callimico,Callimico_goeldii,Goeldi's Monkey,Ceboidea,both,MF,0.3,FFMM,groups
Callithrix,Callithrix_aurita,Buffy-tufted-ear Marmoset,Ceboidea,bp,MF_MFF,0.333333333,FFMM,groups
Callithrix,Callithrix_flaviceps,Buffy-headed Marmoset,Ceboidea,bp,FFMM,0.75,FFMM,groups
Callithrix,Callithrix_jacchus,Common Marmoset,Ceboidea,both,FFMM,0.5625,FFMM,groups
Callithrix,Callithrix_penicillata,Black-tufted-ear Marmoset,Ceboidea,bp,MFF,0.666666667,MFF,groups
