sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan
sp,Allenopithecus_nigroviridis,Allens Swamp Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Allocebus_trichotis,Hairy-eared Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , ,1,1, ,none,FFMM,1,solitary,one,none,AR,0.092,0.084,0.08, , , , , , , ,62.5, , , , , 
pop,Allocebus_trichotis,Hairy-eared Dwarf Lemur,"Analamazaotra Special Reserve, Central Eastern Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,solitary,one,none,AR,0.092,0.084,0.08, , , , , , , ,62.5, , , , , 
sp,Allochrocebus_lhoesti,L'hoest's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
pop,Allochrocebus_preussi,L'hoest's Monkey,"Mount Kilum, Cameroun",Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,one,one,none,T,4.7,2.9,4.525, , ,1.025304833,52, , , , , , , , , 
sp,Allochrocebus_preussi,Preuss's Monkey, ,Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , ,1,2, ,wp,MFF_FFMM,0.5,one,one,none,T,4.7,2.9,4.525, , ,1.025304833,52, , , , , , , , , 
sp,Allochrocebus_solatus,Sun-tailed Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_arctoidea,Ursine Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_belzebul,Red-Handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_caraya,Paranguyan Howler Monkey, ,Forest_Wetland_Grassland,1,1,both,3,Diurnal, ,1, , , ,5, ,45,2,46, , , , , , ,11,98, ,both,FFMM,0.469387755,groups,one,yes,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Beco Xavier Tupancireta, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Establecimiento Nossa Senora da Conceicao, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Estancia Casa Branca, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
