sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_all,mean_Female_all,mean_other_all,sd_Male_all,sd_Female_all,sd_other_all,mean_Fruits_all,mean_Seeds_all,mean_Leaves_all,mean_Flowers_all,mean_Animal_all,sd_Fruits_all,sd_Seeds_all,sd_Leaves_all,sd_Flowers_all,sd_Animals_all
sp,Allenopithecus_nigroviridis,Allens Swamp Monkey, ,,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Allocebus_trichotis,Hairy-eared Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , ,1,1, ,none,FFMM,1,solitary,one,none,AR,0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14, , ,14,51.75, , , , ,15.2027958
pop,Allocebus_trichotis,Hairy-eared Dwarf Lemur,"Analamazaotra Special Reserve, Central Eastern Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,solitary,one,none,AR,0.0875,0.081,0.0805,0.006363961,0.004242641,0.000707107,14, , ,14,51.75, , , , ,15.2027958
sp,Allochrocebus_lhoesti,L'hoest's Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
pop,Allochrocebus_preussi,L'hoest's Monkey,"Mount Kilum, Cameroun",Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,one,one,none,T,6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95, ,1.6,1.2,0.2,0.070710678, , , , 
sp,Allochrocebus_preussi,Preuss's Monkey, ,Forest,0,1,closed,1,Diurnal,1, , , , , , ,1, ,1, , , , , , ,1,2, ,wp,MFF_FFMM,0.5,one,one,none,T,6.35,3.25,4.525,1.439618005,0.494974747,1.025304833,51.95, ,1.6,1.2,0.2,0.070710678, , , , 
sp,Allochrocebus_solatus,Sun-tailed Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_arctoidea,Ursine Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_belzebul,Red-Handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_caraya,Paranguyan Howler Monkey, ,Forest_Grassland_Wetland,1,1,both,3,Diurnal, ,1, , , ,5, ,45,2,46, , , , , , ,11,98, ,both,FFMM,0.469387755,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Beco Xavier Tupancireta, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Establecimiento Nossa Senora da Conceicao, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,1, , , , , , , ,2,1,wp,MFF_FFMM,0.5,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Estancia Casa Branca, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Isla Brasilera, Argentina",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,7, ,21, , , , , , , ,28,5,wp,FFMM,0.75,groups,one,yes,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Protected area of upper Panama river, Brazil",Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , ,2, ,9, , , , , , , ,11,1,wp,FFMM,0.818181818,groups,one,none,AR,7.171428571,4.195, ,0.531834203,0.710823466, ,19.88,0.4,75.5,4.88, ,5.784202624, ,24.26406808,4.37344258, 
