"","diff","common"
"1","Allochrocebus_preussi","L'hoest's Monkey"
"2","Cebus_aequatorialis","Ecuadorian White-fronted Capuchin"
"3","Cercocebus_lunulatus","White napped Mangabey"
"4","Cercopithecus_denti","Crowned Monkey"
"5","Cercopithecus_lowei","Lowe's Monkey"
"6","Cercopithecus_roloway","Roloway Monkey"
"7","Cheracebus_lugens","White-chested Titi Monkey"
"8","Cheracebus_torquatus","White-collared Titi Monkey"
"9","Hylobates_funereus","East Bornean Gray Gibbon"
"10","Lagothrix_flavicauda","Peruvian Yellow-tailed Wooly Monkey"
"11","Piliocolobus_badius","Upper Guinea Red Colobus / Red Colobus monkey"
"12","Piliocolobus_kirkii","Kirk's Red Colobus"
"13","Piliocolobus_oustaleti","Oustalet's Red Colobus"
"14","Piliocolobus_rufomitratus","Tana River Red Colobus"
"15","Plecturocebus_discolor","Red-crowned Titi Monkey"
"16","Plecturocebus_oenanthe","Andean Titi Monkey"
"17","Saguinus_fuscicollis","Brown Mantled Tamarin"
"18","Saguinus_nigricollis","Black Mantled Tamarin"
