updated_name,superfamily
Allocebus_trichotis,Lemuroidea
Cercopithecus_lhoesti,Cercopithecoidea
Alouatta_caraya,Ceboidea
Alouatta_discolor,Ceboidea
Alouatta_guariba,Ceboidea
Alouatta_palliata,Ceboidea
Alouatta_pigra,Ceboidea
Alouatta_sara,Ceboidea
Alouatta_seniculus,Ceboidea
Aotus_azarae,Ceboidea
Aotus_nigriceps,Ceboidea
Aotus_zonalis,Ceboidea
Ateles_belzebuth,Ceboidea
Ateles_paniscus,Ceboidea
Ateles_geoffroyi,Ceboidea
Avahi_laniger,Lemuroidea
Avahi_occidentalis,Lemuroidea
Brachyteles_arachnoides,Ceboidea
Brachyteles_hypoxanthus,Ceboidea
Cacajao_calvus,Ceboidea
Cacajao_melanocephalus,Ceboidea
Callicebus_coimbrai,Ceboidea
Callicebus_melanochir,Ceboidea
Callicebus_personatus,Ceboidea
Callimico_goeldii,Ceboidea
Callithrix_aurita,Ceboidea
Callithrix_flaviceps,Ceboidea
Callithrix_jacchus,Ceboidea
Callithrix_penicillata,Ceboidea
Cebus_albifrons,Ceboidea
Cebus_capucinus,Ceboidea
Cebus_kaapori,Ceboidea
Cebus_olivaceus,Ceboidea
Cercocebus_agilis,Cercopithecoidea
Cercocebus_torquatus,Cercopithecoidea
Cercocebus_galeritus,Cercopithecoidea
Cercocebus_sanjei,Cercopithecoidea
Cercopithecus_ascanius,Cercopithecoidea
Cercopithecus_campbelli,Cercopithecoidea
Cercopithecus_cephus,Cercopithecoidea
Cercopithecus_pogonias,Cercopithecoidea
Cercopithecus_diana,Cercopithecoidea
Cercopithecus_erythrogaster,Cercopithecoidea
Cercopithecus_mitis,Cercopithecoidea
Cercopithecus_mona,Cercopithecoidea
Cercopithecus_neglectus,Cercopithecoidea
Cercopithecus_nictitans,Cercopithecoidea
Cercopithecus_petaurista,Cercopithecoidea
Cheirogaleus_major,Lemuroidea
Cheirogaleus_medius,Lemuroidea
Callicebus_lugens,Ceboidea
Callicebus_torquatus,Ceboidea
Chiropotes_satanas,Ceboidea
Chlorocebus_aethiops,Cercopithecoidea
Chlorocebus_pygerythrus,Cercopithecoidea
Colobus_angolensis,Cercopithecoidea
Colobus_guereza,Cercopithecoidea
Colobus_polykomos,Cercopithecoidea
Colobus_satanas,Cercopithecoidea
Colobus_vellerosus,Cercopithecoidea
Daubentonia_madagascariensis,Lemuroidea
Erythrocebus_patas,Cercopithecoidea
Eulemur_fulvus,Lemuroidea
Eulemur_macaco,Lemuroidea
Eulemur_mongoz,Lemuroidea
Eulemur_rubriventer,Lemuroidea
Galagoides_zanzibaricus,Lorisoidea
Gorilla_beringei,Hominoidea
Gorilla_gorilla,Hominoidea
Hapalemur_griseus,Lemuroidea
Hapalemur_aureus,Lemuroidea
