vertlife species,original names,updated names,present in tree,changed names
Abditomys latidens,Allocebus_trichotis,Allocebus trichotis,TRUE,Allocebus_trichotis
Abeomelomys sevia,Cercopithecus_lhoesti,Cercopithecus lhoesti,TRUE,Cercopithecus_lhoesti
Abrawayaomys chebezi,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrawayaomys ruschii,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma bennettii,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma boliviensis,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma budini,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma cinerea,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma famatina,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma shistacea,Alouatta_caraya,Alouatta caraya,TRUE,Alouatta_caraya
Abrocoma uspallata,Alouatta_discolor,Alouatta discolor,TRUE,Alouatta_discolor
Abrocoma vaccarum,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix andinus,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix hershkovitzi,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix illuteus,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix jelskii,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix lanosus,Alouatta_guariba,Alouatta guariba,TRUE,Alouatta_guariba
Abrothrix longipilis,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Abrothrix manni,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Abrothrix markhami,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Abrothrix olivaceus,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Abrothrix sanborni,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Acerodon celebensis,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Acerodon humilis,Alouatta_palliata,Alouatta palliata,TRUE,Alouatta_palliata
Acerodon jubatus,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acerodon leucotis,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acerodon mackloti,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acinonyx jubatus,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acomys airensis,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acomys cahirinus,Alouatta_pigra,Alouatta pigra,TRUE,Alouatta_pigra
Acomys cilicicus,Alouatta_sara,Alouatta sara,TRUE,Alouatta_sara
Acomys cineraceus,Alouatta_seniculus,Alouatta seniculus,TRUE,Alouatta_seniculus
Acomys dimidiatus,Alouatta_seniculus,Alouatta seniculus,TRUE,Alouatta_seniculus
Acomys ignitus,Alouatta_seniculus,Alouatta seniculus,TRUE,Alouatta_seniculus
Acomys johannis,Alouatta_seniculus,Alouatta seniculus,TRUE,Alouatta_seniculus
Acomys kempi,Aotus_azarai,Aotus azarae,TRUE,Aotus_azarae
Acomys louisae,Aotus_nigriceps,Aotus nigriceps,TRUE,Aotus_nigriceps
Acomys minous,Aotus_zonalis,Aotus zonalis,TRUE,Aotus_zonalis
Acomys mullah,Aotus_zonalis,Aotus zonalis,TRUE,Aotus_zonalis
Acomys muzei,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Acomys nesiotes,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Acomys ngurui,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Acomys percivali,Ateles_paniscus,Ateles paniscus,TRUE,Ateles_paniscus
Acomys russatus,Ateles_paniscus,Ateles paniscus,TRUE,Ateles_paniscus
Acomys seurati,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Acomys spinosissimus,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Acomys subspinosus,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Acomys wilsoni,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Aconaemys fuscus,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Aconaemys porteri,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Aconaemys sagei,Ateles_geoffroyi,Ateles geoffroyi,TRUE,Ateles_geoffroyi
Acrobates pygmaeus,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Addax nasomaculatus,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Aegialomys galapagoensis,Ateles_belzebuth,Ateles belzebuth,TRUE,Ateles_belzebuth
Aegialomys xanthaeolus,Avahi_laniger,Avahi laniger,TRUE,Avahi_laniger
Aepeomys lugens,Avahi_laniger,Avahi laniger,TRUE,Avahi_laniger
Aepeomys reigi,Avahi_occidentalis,Avahi occidentalis,TRUE,Avahi_occidentalis
Aepyceros melampus,Brachyteles_arachnoides,Brachyteles arachnoides,TRUE,Brachyteles_arachnoides
Aepyprymnus rufescens,Brachyteles_arachnoides,Brachyteles arachnoides,TRUE,Brachyteles_arachnoides
Aeretes melanopterus,Brachyteles_hypoxanthus,Brachyteles hypoxanthus,TRUE,Brachyteles_hypoxanthus
Aeromys tephromelas,Cacajao_calvus,Cacajao calvus,TRUE,Cacajao_calvus
Aeromys thomasi,Cacajao_melanocephalus,Cacajao melanocephalus,TRUE,Cacajao_melanocephalus
Aethalops aequalis,Cacajao_melanocephalus,Cacajao melanocephalus,TRUE,Cacajao_melanocephalus
Aethalops alecto,Callicebus_coimbrai,Callicebus coimbrai,TRUE,Callicebus_coimbrai
Aethomys bocagei,Callicebus_melanochir,Callicebus melanochir,TRUE,Callicebus_melanochir
Aethomys chrysophilus,Callicebus_personatus,Callicebus personatus,TRUE,Callicebus_personatus
Aethomys granti,Callicebus_personatus,Callicebus personatus,TRUE,Callicebus_personatus
Aethomys hindei,Callicebus_personatus,Callicebus personatus,TRUE,Callicebus_personatus
Aethomys ineptus,Callimico_goeldii,Callimico goeldii,TRUE,Callimico_goeldii
Aethomys kaiseri,Callimico_goeldii,Callimico goeldii,TRUE,Callimico_goeldii
Aethomys namaquensis,Callimico_goeldii,Callimico goeldii,TRUE,Callimico_goeldii
Aethomys nyikae,Callithrix_aurita,Callithrix aurita,TRUE,Callithrix_aurita
Aethomys silindensis,Callithrix_aurita,Callithrix aurita,TRUE,Callithrix_aurita
Aethomys stannarius,Callithrix_flaviceps,Callithrix flaviceps,TRUE,Callithrix_flaviceps
Aethomys thomasi,Callithrix_flaviceps,Callithrix flaviceps,TRUE,Callithrix_flaviceps
Ailuropoda melanoleuca,Callithrix_jacchus,Callithrix jacchus,TRUE,Callithrix_jacchus
Ailurops melanotis,Callithrix_jacchus,Callithrix jacchus,TRUE,Callithrix_jacchus
Ailurops ursinus,Callithrix_jacchus,Callithrix jacchus,TRUE,Callithrix_jacchus
Ailurus fulgens,Callithrix_jacchus,Callithrix jacchus,TRUE,Callithrix_jacchus
Akodon aerosus,Callithrix_jacchus,Callithrix jacchus,TRUE,Callithrix_jacchus
Akodon affinis,Callithrix_penicillata,Callithrix penicillata,TRUE,Callithrix_penicillata
Akodon albiventer,Callithrix_penicillata,Callithrix penicillata,TRUE,Callithrix_penicillata
Akodon aliquantulus,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon azarae,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon bogotensis,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon boliviensis,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon budini,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon cursor,Cebus_albifrons,Cebus albifrons,TRUE,Cebus_albifrons
Akodon dayi,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon dolores,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon fumeus,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon iniscatus,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon josemariarguedasi,Cebus_kaapori,Cebus kaapori,TRUE,Cebus_kaapori
Akodon juninensis,Cebus_olivaceus,Cebus olivaceus,TRUE,Cebus_olivaceus
Akodon kofordi,Cercocebus_agilis,Cercocebus agilis,TRUE,Cercocebus_agilis
Akodon latebricola,Cercocebus_agilis,Cercocebus agilis,TRUE,Cercocebus_agilis
Akodon leucolimnaeus,Cercocebus_torquatus_atys,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon lindberghi,Cercocebus_galeritus,Cercocebus galeritus,TRUE,Cercocebus_galeritus
Akodon lutescens,Cercocebus_torquatus_atys,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon mimus,Cercocebus_sanjei,Cercocebus sanjei,TRUE,Cercocebus_sanjei
Akodon molinae,Cercocebus_torquatus,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon mollis,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
Akodon montensis,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
