Family,Species,Genus,3 state (SPG),4 state (SPUM),Shultz,C&L
Aotidae,Aotus azarae,Aotus,P,P,P,P
Aotidae,Aotus griseimembra,Aotus,P,P,,
Aotidae,Aotus infulatus,Aotus,P,P,P,
Aotidae,Aotus lemurinus,Aotus,P,P,P,P
Aotidae,Aotus nancymaae,Aotus,P,P,P,P
Aotidae,Aotus nigriceps,Aotus,P,P,,P
Aotidae,Aotus trivirgatus,Aotus,P,P,P,P
Aotidae,Aotus vociferans,Aotus,P,P,,P
Atelidae,Alouatta belzebul,Alouatta,G,"UM, MM",,G
Atelidae,Alouatta caraya,Alouatta,"P, G","P, UM, MM","UM, MM",G
Atelidae,Alouatta coibensis,Alouatta,G,"UM, MM",,G
Atelidae,Alouatta guariba,Alouatta,"P, G","P, UM, MM",,G
Atelidae,Alouatta macconnelli,Alouatta,G,"UM, MM",,G
Atelidae,Alouatta nigerrima,Alouatta,G,UM,,G
Atelidae,Alouatta palliata,Alouatta,"P, G","P, UM, MM","UM, MM",G
Atelidae,Alouatta pigra,Alouatta,"P, G","P, UM, MM","UM, MM",G
Atelidae,Alouatta sara,Alouatta,G,UM,"UM, MM",G
Atelidae,Alouatta seniculus,Alouatta,G,"UM, MM","UM, MM",G
Atelidae,Ateles belzebuth,Ateles,G,MM,MM,G
Atelidae,Ateles chamek,Ateles,G,MM,,G
Atelidae,Ateles fusciceps,Ateles,G,MM,,G
Atelidae,Ateles geoffroyi,Ateles,G,MM,MM,G
Atelidae,Ateles hybridus,Ateles,G,MM,,G
Atelidae,Ateles marginatus,Ateles,G,MM,,G
Atelidae,Ateles paniscus,Ateles,G,MM,MM,G
Atelidae,Brachyteles arachnoides,Brachyteles,G,MM,MM,G
Atelidae,Brachyteles hypoxanthus,Brachyteles,G,MM,,G
Atelidae,Lagothrix cana,Lagothrix,G,MM,,G
Atelidae,Lagothrix lagotricha,Lagothrix,G,MM,MM,G
Atelidae,Lagothrix lugens,Lagothrix,G,MM,,G
Atelidae,Lagothrix poeppigii,Lagothrix,G,MM,,G
Cebidae,Callimico goeldii,Callimico,G,MM,"P, UM, MM",G
Cebidae,Callithrix argentata,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix aurita,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix emiliae,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix geoffroyi,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix humeralifera,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix humilis,Callithrix,G,MM,,
Cebidae,Callithrix jacchus,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix kuhlii,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix mauesi,Callithrix,G,MM,,
Cebidae,Callithrix penicillata,Callithrix,G,MM,"P, UM, MM",P
Cebidae,Callithrix pygmaea,Callithrix,G,UM,"P, UM, MM",P
Cebidae,Callithrix saterei,Callithrix,G,MM,,
Cebidae,Cebus albifrons,Cebus,G,MM,MM,G
Cebidae,Cebus apella,Cebus,G,MM,MM,G
Cebidae,Cebus capucinus,Cebus,G,MM,MM,G
Cebidae,Cebus kaapori,Cebus,G,MM,,
Cebidae,Cebus libidinosus,Cebus,G,MM,,G
Cebidae,Cebus olivaceus,Cebus,G,MM,,G
Cebidae,Cebus robustus,Cebus,G,MM,,
Cebidae,Cebus xanthosternos,Cebus,G,MM,,G
Cebidae,Leontopithecus chrysomelas,Leontopithecus,"P, G","P, UM, MM","P, UM, MM",P
Cebidae,Leontopithecus chrysopygus,Leontopithecus,"P, G","P, MM","P, UM, MM",P
Cebidae,Leontopithecus rosalia,Leontopithecus,G,"UM, MM","P, UM, MM",P
Cebidae,Saguinus bicolor,Saguinus,G,MM,,P
Cebidae,Saguinus fuscicollis,Saguinus,G,"UM, MM","P, UM, MM",P
Cebidae,Saguinus geoffroyi,Saguinus,G,MM,"P, UM, MM",P
Cebidae,Saguinus graellsi,Saguinus,G,MM,,P
Cebidae,Saguinus imperator,Saguinus,G,"UM, MM","P, UM, MM",P
Cebidae,Saguinus labiatus,Saguinus,G,MM,,P
Cebidae,Saguinus leucopus,Saguinus,G,MM,,P
Cebidae,Saguinus martinsi,Saguinus,G,MM,,P
Cebidae,Saguinus melanoleucus,Saguinus,G,MM,,P
Cebidae,Saguinus midas,Saguinus,G,"UM, MM","P, UM, MM",P
Cebidae,Saguinus mystax,Saguinus,G,"UM, MM",,P
Cebidae,Saguinus niger,Saguinus,G,MM,,P
Cebidae,Saguinus nigricollis,Saguinus,"P, G","P, MM",,P
Cebidae,Saguinus oedipus,Saguinus,G,MM,"P, UM, MM",P
Cebidae,Saguinus tripartitus,Saguinus,G,MM,,P
Cebidae,Saimiri boliviensis,Saimiri,G,MM,MM,G
Cebidae,Saimiri oerstedii,Saimiri,G,MM,MM,G
Cebidae,Saimiri sciureus,Saimiri,G,MM,MM,G
Cebidae,Saimiri ustus,Saimiri,G,MM,,G
Cercopithecidae,Allenopithecus nigroviridis,Allenopithecus,G,MM,MM,G
Cercopithecidae,Cercocebus agilis,Cercocebus,G,"UM, MM",MM,G
Cercopithecidae,Cercocebus atys,Cercocebus,G,MM,MM,G
Cercopithecidae,Cercocebus chrysogaster,Cercocebus,G,MM,,G
Cercopithecidae,Cercocebus galeritus,Cercocebus,G,"UM, MM",MM,G
Cercopithecidae,Cercocebus torquatus,Cercocebus,G,MM,MM,G
Cercopithecidae,Cercopithecus albogularis,Cercopithecus,G,UM,,G
Cercopithecidae,Cercopithecus ascanius,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus campbelli,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus cephus,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus diana,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus erythrogaster,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus erythrotis,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus hamlyni,Cercopithecus,G,"UM, MM",UM,G
Cercopithecidae,Cercopithecus lhoesti,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus mitis,Cercopithecus,G,UM,"UM, MM",G
Cercopithecidae,Cercopithecus mona,Cercopithecus,G,"UM, MM",UM,G
Cercopithecidae,Cercopithecus neglectus,Cercopithecus,"P, G","P, UM","P, UM",G
Cercopithecidae,Cercopithecus nictitans,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus petaurista,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus pogonias,Cercopithecus,G,UM,,G
Cercopithecidae,Cercopithecus preussi,Cercopithecus,G,"UM, MM",UM,G
Cercopithecidae,Cercopithecus solatus,Cercopithecus,G,UM,UM,G
Cercopithecidae,Cercopithecus wolfi,Cercopithecus,G,"UM, MM",UM,G
Cercopithecidae,Chlorocebus aethiops,Chlorocebus,G,MM,MM,G
Cercopithecidae,Chlorocebus cynosuros,Chlorocebus,G,MM,,
Cercopithecidae,Chlorocebus pygerythrus,Chlorocebus,G,MM,MM,
Cercopithecidae,Chlorocebus sabaeus,Chlorocebus,G,MM,MM,G
Cercopithecidae,Chlorocebus tantalus,Chlorocebus,G,MM,MM,
Cercopithecidae,Colobus angolensis,Colobus,G,MM,"P, UM, MM",G
Cercopithecidae,Colobus guereza,Colobus,G,MM,"P, UM, MM",G
Cercopithecidae,Colobus polykomos,Colobus,G,MM,"UM, MM",G
Cercopithecidae,Colobus satanas,Colobus,G,MM,,G
Cercopithecidae,Colobus vellerosus,Colobus,G,MM,,G
Cercopithecidae,Erythrocebus patas,Erythrocebus,G,MM,UM,G
Cercopithecidae,Lophocebus albigena,Lophocebus,G,MM,MM,G
Cercopithecidae,Lophocebus aterrimus,Lophocebus,G,MM,MM,G
Cercopithecidae,Macaca arctoides,Macaca,G,MM,MM,G
Cercopithecidae,Macaca assamensis,Macaca,G,MM,MM,G
Cercopithecidae,Macaca brunnescens,Macaca,G,MM,MM,
Cercopithecidae,Macaca cyclopis,Macaca,G,MM,MM,G
Cercopithecidae,Macaca fascicularis,Macaca,G,MM,MM,G
Cercopithecidae,Macaca fuscata,Macaca,G,MM,MM,G
Cercopithecidae,Macaca hecki,Macaca,G,MM,MM,G
Cercopithecidae,Macaca leonina,Macaca,G,MM,MM,G
Cercopithecidae,Macaca maura,Macaca,G,MM,MM,G
Cercopithecidae,Macaca mulatta,Macaca,G,MM,MM,G
Cercopithecidae,Macaca munzala,Macaca,G,MM,,
Cercopithecidae,Macaca nemestrina,Macaca,G,MM,MM,G
Cercopithecidae,Macaca nigra,Macaca,G,MM,MM,G
Cercopithecidae,Macaca nigrescens,Macaca,G,MM,MM,G
Cercopithecidae,Macaca ochreata,Macaca,G,MM,MM,G
Cercopithecidae,Macaca pagensis,Macaca,G,MM,UM,G
Cercopithecidae,Macaca radiata,Macaca,G,MM,MM,G
Cercopithecidae,Macaca siberu,Macaca,G,MM,MM,
Cercopithecidae,Macaca silenus,Macaca,G,UM,MM,G
Cercopithecidae,Macaca sinica,Macaca,G,MM,MM,G
Cercopithecidae,Macaca sylvanus,Macaca,G,MM,MM,G
Cercopithecidae,Macaca thibetana,Macaca,G,MM,MM,G
Cercopithecidae,Macaca tonkeana,Macaca,G,MM,MM,G
Cercopithecidae,Mandrillus leucophaeus,Mandrillus,G,"UM, MM",MM,G
Cercopithecidae,Mandrillus sphinx,Mandrillus,G,"UM, MM",MM,G
Cercopithecidae,Miopithecus ogouensis,Miopithecus,G,MM,,
Cercopithecidae,Miopithecus talapoin,Miopithecus,G,MM,MM,G
Cercopithecidae,Nasalis larvatus,Nasalis,"P, G","P, UM",UM,G
Cercopithecidae,Papio anubis,Papio,G,MM,MM,G
Cercopithecidae,Papio cynocephalus,Papio,G,MM,MM,G
Cercopithecidae,Papio hamadryas,Papio,G,UM,"UM, MM",G
Cercopithecidae,Papio papio,Papio,G,MM,MM,G
Cercopithecidae,Papio ursinus,Papio,G,MM,MM,G
Cercopithecidae,Piliocolobus badius,Piliocolobus,G,MM,MM,
Cercopithecidae,Piliocolobus foai,Piliocolobus,G,MM,,
Cercopithecidae,Piliocolobus gordonorum,Piliocolobus,G,MM,,G
Cercopithecidae,Piliocolobus kirkii,Piliocolobus,G,MM,,G
Cercopithecidae,Piliocolobus pennantii,Piliocolobus,G,"UM, MM",G,
Cercopithecidae,Piliocolobus preussi,Piliocolobus,G,MM,G,
Cercopithecidae,Piliocolobus rufomitratus,Piliocolobus,G,MM,G,
Cercopithecidae,Piliocolobus tephrosceles,Piliocolobus,G,MM,G,
Cercopithecidae,Piliocolobus tholloni,Piliocolobus,G,MM,G,
Cercopithecidae,Presbytis bicolor,Presbytis,G,UM,,
Cercopithecidae,Presbytis chrysomelas,Presbytis,G,UM,G,
Cercopithecidae,Presbytis comata,Presbytis,"P, G","P, UMMM",G,
Cercopithecidae,Presbytis femoralis,Presbytis,G,UM,G,
Cercopithecidae,Presbytis fredericae,Presbytis,G,UM,,
Cercopithecidae,Presbytis frontata,Presbytis,"P, G","P, UM",G,
Cercopithecidae,Presbytis hosei,Presbytis,G,UM,G,
Cercopithecidae,Presbytis melalophos,Presbytis,G,"UM, MM","UM, MM G",
Cercopithecidae,Presbytis mitrata,Presbytis,G,UM,,
Cercopithecidae,Presbytis potenziani,Presbytis,"P, G","P, UM, MM",G,
Cercopithecidae,Presbytis rubicunda,Presbytis,G,UM,G,
Cercopithecidae,Presbytis siberu,Presbytis,G,UM,,
Cercopithecidae,Presbytis sumatranu,Presbytis,G,UM,,
Cercopithecidae,Presbytis thomasi,Presbytis,G,"UM, MM",G,
Cercopithecidae,Procolobus verus,Procolobus,"P, G","P, UM, MM",G,
Cercopithecidae,Pygathrix cinerea,Pygathrix,G,"UM, MM",,
Cercopithecidae,Pygathrix nemaeus,Pygathrix,G,"UM, MM","UM, MM G",
Cercopithecidae,Pygathrix nigripes,Pygathrix,G,UM,,
Cercopithecidae,Rhinopithecus avunculus,Rhinopithecus,G,"UM, MM",UM,
Cercopithecidae,Rhinopithecus bieti,Rhinopithecus,G,UM,UM,
Cercopithecidae,Rhinopithecus brelichi,Rhinopithecus,G,"UM, MM",UM,
Cercopithecidae,Rhinopithecus roxellana,Rhinopithecus,G,UM,UM,
Cercopithecidae,Rungwecebus kipunji,Rungwecebus,G,MM,MM,
Cercopithecidae,Semnopithecus entellus,Semnopithecus,G,"UM, MM","UM, MM G",
