Order,Superfamily,Genus,Species,character_data
Primates,Lemuroidea,Allocebus,Allocebus_trichotis,G
Primates,Cercopithecoidea,Cercopithecus,Cercopithecus_preussi,G
Primates,Ceboidea,Alouatta,Alouatta_caraya,G
Primates,Ceboidea,Alouatta,Alouatta_discolor,G
Primates,Ceboidea,Alouatta,Alouatta_guariba,G
Primates,Ceboidea,Alouatta,Alouatta_palliata,G
Primates,Ceboidea,Alouatta,Alouatta_pigra,G
Primates,Ceboidea,Alouatta,Alouatta_sara,G
Primates,Ceboidea,Alouatta,Alouatta_seniculus,G
Primates,Ceboidea,Aotus,Aotus_azarae,P
Primates,Ceboidea,Aotus,Aotus_nigriceps,P
Primates,Ceboidea,Aotus,Aotus_zonalis,P
Primates,Ceboidea,Ateles,Ateles_belzebuth,G
Primates,Ceboidea,Ateles,Ateles_chamek,G
Primates,Ceboidea,Ateles,Ateles_geoffroyi,G
Primates,Ceboidea,Ateles,Ateles_hybridus,G
Primates,Ceboidea,Ateles,Ateles_marginatus,G
Primates,Lemuroidea,Avahi,Avahi_laniger,P
Primates,Lemuroidea,Avahi,Avahi_meridionalis,P
Primates,Lemuroidea,Avahi,Avahi_occidentalis,P
Primates,Ceboidea,Brachyteles,Brachyteles_arachnoides,G
Primates,Ceboidea,Brachyteles,Brachyteles_hypoxanthus,G
Primates,Ceboidea,Cacajao,Cacajao_calvus,G
Primates,Ceboidea,Cacajao,Cacajao_melanocephalus,G
Primates,Ceboidea,Callicebus,Callicebus_coimbrai,P
Primates,Ceboidea,Callicebus,Callicebus_melanochir,P
Primates,Ceboidea,Callicebus,Callicebus_nigrifrons,P
Primates,Ceboidea,Callicebus,Callicebus_personatus,P
Primates,Ceboidea,Callimico,Callimico_goeldii,P
Primates,Ceboidea,Callithrix,Callithrix_aurita,G
Primates,Ceboidea,Callithrix,Callithrix_flaviceps,G
Primates,Ceboidea,Callithrix,Callithrix_jacchus,G
Primates,Ceboidea,Callithrix,Callithrix_penicillata,G
Primates,Ceboidea,Cebus,Cebus_albifrons,G
Primates,Ceboidea,Cebus,Cebus_albifrons,G
Primates,Ceboidea,Cebus,Cebus_capucinus,G
Primates,Ceboidea,Cebus,Cebus_kaapori,G
Primates,Ceboidea,Cebus,Cebus_olivaceus,G
Primates,Cercopithecoidea,Cercocebus,Cercocebus_agilis,G
Primates,Cercopithecoidea,Cercocebus,Cercocebus_atys,G
Primates,Cercopithecoidea,Cercocebus,Cercocebus_galeritus,G
Primates,Cercopithecoidea,Cercocebus,Cercocebus_atys,G
