Row,sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,Main1,Main2,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan,IVSO_prop,IVSOint,Superfamily,Order,Family,Genus
2,sp,Allocebus_trichotis,Hairy-eared Dwarf Lemur, ,Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,none,FFMM,FFMM,1,solitary,one,none,AR,0.092,0.084,0.08,NA,NA,NA,NA,NA,NA,NA,62.5,NA,NA,NA,NA,NA,0,0,Lemuroidea,Primates,Cheirogaleidae,Allocebus
3,pop,Allocebus_trichotis,Hairy-eared Dwarf Lemur,"Analamazaotra Special Reserve, Central Eastern Madagascar",Forest,0,1,closed,1,Nocturnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,none,FFMM,FFMM,1,solitary,one,none,AR,0.092,0.084,0.08,NA,NA,NA,NA,NA,NA,NA,62.5,NA,NA,NA,NA,NA,0,0,Lemuroidea,Primates,Cheirogaleidae,Allocebus
5,pop,Cercopithecus_preussi,L'hoest's Monkey,"Mount Kilum, Cameroun",Forest,0,1,closed,1,Diurnal,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,wp,MFF,FFMM,0.5,one,one,none,T,4.7,2.9,4.525,NA,NA,1.025304833,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus
6,sp,Cercopithecus_preussi,Preuss's Monkey, ,Forest,0,1,closed,1,Diurnal,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,wp,MFF,FFMM,0.5,one,one,none,T,4.7,2.9,4.525,NA,NA,1.025304833,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,Cercopithecoidea,Primates,Cercopithecidae,Cercopithecus
10,sp,Alouatta_caraya,Paranguyan Howler Monkey, ,Forest_Wetland_Grassland,1,1,both,3,Diurnal,NA,1,NA,NA,NA,5,NA,45,2,46,NA,NA,NA,NA,NA,NA,11,98,NA,both,FFMM,FFMM,0.469387755,groups,one,yes,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.530612245,52,Ceboidea,Primates,Atelidae,Alouatta
11,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Beco Xavier Tupancireta, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MF,MF,1,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
12,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Establecimiento Nossa Senora da Conceicao, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,wp,MFF,FFMM,0.5,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.5,1,Ceboidea,Primates,Atelidae,Alouatta
13,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Estancia Casa Branca, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MFF,MFF,1,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
14,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Isla Brasilera, Argentina",Forest_Wetland,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,7,NA,21,NA,NA,NA,NA,NA,NA,NA,28,5,wp,FFMM,FFMM,0.75,groups,one,yes,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.25,7,Ceboidea,Primates,Atelidae,Alouatta
15,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Protected area of upper Panama river, Brazil",Forest_Wetland_Grassland,1,1,both,3,Diurnal,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,NA,NA,NA,NA,NA,11,1,wp,FFMM,FFMM,0.818181818,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.181818182,2,Ceboidea,Primates,Atelidae,Alouatta
16,pop,Alouatta_caraya,Paranguyan Howler Monkey,"San cayetano Corrientese, Argentina",Forest_Grassland,1,1,both,2,Diurnal,NA,1,NA,NA,NA,NA,NA,32,NA,8,NA,NA,NA,NA,NA,NA,NA,40,2,wp,MFF,MFF,0.8,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.2,7,Ceboidea,Primates,Atelidae,Alouatta
17,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,2,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,7,1,wp,FFMM,FFMM,0.428571429,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.571428571,3,Ceboidea,Primates,Atelidae,Alouatta
18,pop,Alouatta_caraya,Paranguyan Howler Monkey,"Tocantins River, Brazil",Forest_Wetland,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,2,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,8,1,wp,FFMM,FFMM,0.5,groups,one,none,AR,6.42,4.33,NA,NA,NA,NA,28.5,0.4,57.3,2.7,NA,NA,NA,NA,NA,NA,0.5,4,Ceboidea,Primates,Atelidae,Alouatta
20,sp,Alouatta_discolor,Spix's Howler Monkey, ,Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,none,MFF,MFF,1,groups,one,none,AR,7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
21,pop,Alouatta_discolor,Spix's Howler Monkey,"Teles Pires River, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MFF,MFF,1,groups,one,none,AR,7.25,5.5,6.37,NA,NA,NA,55.6,NA,24.8,5.7,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
22,sp,Alouatta_guariba,Brown Howler Monkey, , ,0,0,,2,Diurnal,1,NA,NA,3,NA,2,NA,12,NA,4,NA,NA,NA,NA,NA,NA,6,18,NA,wp,MFF,MFF,0.666666667,groups,ff,yes,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0.333333333,5,Ceboidea,Primates,Atelidae,Alouatta
23,pop,Alouatta_guariba,Brown Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MFF,MFF,1,groups,one,none,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
24,pop,Alouatta_guariba,Brown Howler Monkey,"Campo de instrucao de santa maria, Brazil",Forest_Grassland,1,1,both,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,none,MFF,MFF,1,groups,one,none,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
25,pop,Alouatta_guariba,Brown Howler Monkey,"Moro Geisler, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,wp,MFF,MFF,0.666666667,groups,one,none,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0.333333333,0,Ceboidea,Primates,Atelidae,Alouatta
26,pop,Alouatta_guariba,Brown Howler Monkey,"Chacara payquere do Bugre, Brazil",Forest,0,1,closed,1,Diurnal,1,NA,NA,3,NA,1,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,9,1,wp,MFF,FFMM,0.444444444,groups,ff,yes,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0.555555556,5,Ceboidea,Primates,Atelidae,Alouatta
27,pop,Alouatta_guariba,Brown Howler Monkey,Parque Sao Paulo Village,Forest_Artificial,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MFF,MFF,1,groups,one,none,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
28,pop,Alouatta_guariba,Brown Howler Monkey,"Porto Allegre, Brazil",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,none,MFF,MFF,1,groups,one,none,AR,6.73,4.35,NA,NA,NA,NA,46.8,NA,34.2,11.8,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
31,sp,Alouatta_palliata,Mantled Howler Monkey, , ,0,0,,2,Diurnal,13,NA,NA,NA,NA,NA,NA,9,2,45,NA,NA,NA,NA,NA,NA,19,56,NA,both,FFMM,FFMM,0.813559322,groups,one,none,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0.186440678,10,Ceboidea,Primates,Atelidae,Alouatta
32,pop,Alouatta_palliata,Mantled Howler Monkey,"Los Tuxlas, Mexico",Forest_Artificial,0,1,closed,2,Diurnal,13,NA,NA,NA,NA,NA,NA,2,1,14,NA,NA,NA,NA,NA,NA,NA,17,5,wp,FFMM,FFMM,0.823529412,groups,one,none,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0.176470588,2,Ceboidea,Primates,Atelidae,Alouatta
33,pop,Alouatta_palliata,Mantled Howler Monkey,"Isla de Ometepe, Mexico",Forest,0,1,closed,1,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,none,FFMM,FFMM,1,groups,one,none,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
34,pop,Alouatta_palliata,Mantled Howler Monkey,"Hacienda la pacifica, Costa Rica",Forest_Artificial,0,1,closed,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,7,none,FFMM,FFMM,1,groups,one,yes,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
35,pop,Alouatta_palliata,Mantled Howler Monkey,Agaltepec island,Forest_Grassland,1,1,both,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,none,FFMM,FFMM,1,groups,one,none,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
36,pop,Alouatta_palliata,Mantled Howler Monkey,"Macuspana, Tabasco",Forest_Shrubland,1,1,both,2,Diurnal,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5,2,none,FFMM,FFMM,1,groups,one,none,AR,6.96,5.28,6.12,NA,NA,NA,12.5,NA,63.6,18.2,NA,NA,NA,NA,NA,NA,0,0,Ceboidea,Primates,Atelidae,Alouatta
