dataset,ntaxa,ntips,phylo,method1,model1,MkDG,MkDP,MkG,MkP,MkS,method2,model2,scmDG,scmDP,scmG,scmP,scmS
Olivier et al (2024) 3 state,215,215,Olivier et al (2024),Mk,fitSYM,0,0,0.060032145233318485,0.3281930734394679,0.6117747813272136,SCM,scmSYM,0,0,0.05,0.33,0.62
Kappeler & Pozzi (2019) 3 state (S<P<G),213,213,Olivier et al (2024),Mk,fitSYM,0,0,0.03530737027763625,0.2571928035399898,0.707499826182374,SCM,scmSYM,0,0,0.03,0.26,0.71
Lukas & Clutton-Brock (2013) 3 state,213,213,Olivier et al (2024),Mk,fitSYM,0,0,0.0059522556224353325,0.04103847449981871,0.9530092698777459,SCM,scmSYM,0,0,0,0.03,0.97
Shultz et al (2011) 3 state (S<P<G),209,209,Olivier et al (2024),Mk,fitSYM,0,0,2.823406327488387e-4,7.349959035291081e-4,0.998982663463722,SCM,scmSYM,0,0,0,0,1
Müller & Thalmann (2000) 3 state (S<P<G),198,198,Olivier et al (2024),Mk,fitSYM,0,0,0.6309665049184492,0.36903314618991095,3.488916398161445e-7,SCM,scmSYM,0,0,0.62,0.38,0
Müller & Thalmann (2000) 5 state (S<P<G),198,198,Olivier et al (2024),Mk,fitSYM,0.30430178990250306,0.2694578870629837,0.0865107710068635,0.3397295520276499,0,SCM,scmSYM,0.39,0.29,0.05,0.27,0
Kappeler & Pozzi (2019) 3 state (G>P>S),213,213,Olivier et al (2024),Mk,fitSYM,0,0,0.06091308808348758,0.318723863285315,0.6203630486311974,SCM,scmSYM,0,0,0.05,0.27,0.68
Shultz et al (2011) 3 state (G>P>S),209,209,Olivier et al (2024),Mk,fitSYM,0,0,0.13803963617378523,0.3438838804134128,0.5180764834128021,SCM,scmSYM,0,0,0.11,0.4,0.49
Müller & Thalmann (2000) 3 state (G>P>S),198,198,Olivier et al (2024),Mk,fitSYM,0,0,0.6309665049184492,0.36903314618991095,3.488916398161445e-7,SCM,scmSYM,0,0,0.57,0.43,0
Müller & Thalmann (2000) 5 state (G>P>S),198,198,Olivier et al (2024),Mk,fitSYM,0.30430178990250306,0.2694578870629837,0.0865107710068635,0.3397295520276499,0,SCM,scmSYM,0.28,0.33,0.15,0.24,0
