dataset,phylo,name,value,outgroup,prop,ypos
"Kappeler & Pozzi (2019)
3 state","Kuderna et al (2023)
+ no outgroup",S,0.2981444780170403,no outgroup,0.2981444780170403,0.14907223900852015
"Kappeler & Pozzi (2019)
3 state","Kuderna et al (2023)
+ no outgroup",P,0.672887529201004,no outgroup,0.672887529201004,0.6345882426175422
"Kappeler & Pozzi (2019)
3 state","Kuderna et al (2023)
+ no outgroup",G,0.02896799278195563,no outgroup,0.02896799278195563,0.985516003609022
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ no outgroup",S,0.2060885409118865,no outgroup,0.2060885409118865,0.10304427045594325
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ no outgroup",P,0.7208962412018348,no outgroup,0.7208962412018348,0.566536661512804
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ no outgroup",G,0.07301521788627864,no outgroup,0.07301521788627864,0.9634923910568607
"Lukas & Clutton-Brock (2013)
3 state","Kuderna et al (2023)
+ no outgroup",S,0.960870876550679,no outgroup,0.960870876550679,0.4804354382753395
"Lukas & Clutton-Brock (2013)
3 state","Kuderna et al (2023)
+ no outgroup",P,0.03782897136184048,no outgroup,0.03782897136184048,0.9797853622315993
"Lukas & Clutton-Brock (2013)
3 state","Kuderna et al (2023)
+ no outgroup",G,0.00130015208748042,no outgroup,0.00130015208748042,0.9993499239562598
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ no outgroup",S,7.65941716146513e-10,no outgroup,7.65941716146513e-10,3.829708580732565e-10
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ no outgroup",P,0.00687542326148798,no outgroup,0.00687542326148798,0.0034377123966857063
"Müller & Thalmann (2000)
3 state","Kuderna et al (2023)
+ no outgroup",G,0.9931245759725704,no outgroup,0.9931245759725704,0.503437712013715
"Müller & Thalmann (2000)
3 state (large)","Kuderna et al (2023)
+ no outgroup",S,7.65941716146513e-10,no outgroup,7.65941716146513e-10,3.829708580732565e-10
"Müller & Thalmann (2000)
3 state (large)","Kuderna et al (2023)
+ no outgroup",P,0.00687542326148798,no outgroup,0.00687542326148798,0.0034377123966857063
"Müller & Thalmann (2000)
3 state (large)","Kuderna et al (2023)
+ no outgroup",G,0.9931245759725704,no outgroup,0.9931245759725704,0.503437712013715
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ no outgroup",P,0.7945478908168967,no outgroup,0.7945478908168967,0.39727394540844835
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ no outgroup",G,0.06100289394306845,no outgroup,0.06100289394306845,0.8250493377884309
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ no outgroup",D-P,2.0165051250059968e-4,no outgroup,2.0165051250059968e-4,0.8556516100162155
"Müller & Thalmann (2000)
5 state","Kuderna et al (2023)
+ no outgroup",D-G,0.14424756472753433,no outgroup,0.14424756472753433,0.9278762176362331
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ no outgroup",P,0.7945478908168967,no outgroup,0.7945478908168967,0.39727394540844835
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ no outgroup",G,0.06100289394306845,no outgroup,0.06100289394306845,0.8250493377884309
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ no outgroup",D-P,2.0165051250059968e-4,no outgroup,2.0165051250059968e-4,0.8556516100162155
"Müller & Thalmann (2000)
5 state (large)","Kuderna et al (2023)
+ no outgroup",D-G,0.14424756472753433,no outgroup,0.14424756472753433,0.9278762176362331
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ no outgroup",S,0.23593670700268105,no outgroup,0.23593670700268105,0.11796835350134052
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ no outgroup",P,0.7295528713645641,no outgroup,0.7295528713645641,0.6007131426849632
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ no outgroup",G,0.0345104216327549,no outgroup,0.0345104216327549,0.9827447891836227
"Shultz et al (2011)
3 state","Kuderna et al (2023)
+ no outgroup",S,0.9952754965528088,no outgroup,0.9952754965528088,0.4976377482764044
"Shultz et al (2011)
3 state","Kuderna et al (2023)
+ no outgroup",P,2.1821428541386513e-5,no outgroup,2.1821428541386513e-5,0.9952864072670794
"Shultz et al (2011)
3 state","Kuderna et al (2023)
+ no outgroup",G,0.00470268201864985,no outgroup,0.00470268201864985,0.9976486589906751
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ no outgroup",S,0.14653514632661063,no outgroup,0.14653514632661063,0.07326757316330532
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ no outgroup",P,0.5668300312647726,no outgroup,0.5668300312647726,0.4299501619589969
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ no outgroup",G,0.2866348224086167,no outgroup,0.2866348224086167,0.8566825887956915
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ outgroup",S,0.03910086982317291,outgroup,0.03910086982317291,0.019550434911586454
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ outgroup",P,0.4345718002558744,outgroup,0.4345718002558744,0.2563867699511101
"Kappeler & Pozzi (2019)
3 state (large)","Kuderna et al (2023)
+ outgroup",G,0.5263273299209527,outgroup,0.5263273299209527,0.7368363350395237
"Kappeler & Pozzi (2019)
3 state","Kuderna et al (2023)
+ outgroup",S,0.03910086982317291,outgroup,0.03910086982317291,0.019550434911586454
