Order,Superfamily,Species,Kappeler & Pozzi 3 state,Lukas & Clutton-Brock 3 state,Olivier et al 3 state,Shultz et al 3 state,Müller & Thalmann 3 state,Müller & Thalmann 5 state,Additional 3 state,Additional 5 state,Genus
Primates,Lemuroidea,Allocebus_trichotis,S,S,G,"S, P",NA,NA,NA,NA,Allocebus
Primates,Cercopithecoidea,Cercopithecus_preussi,G,G,G,G,G,G,NA,NA,Cercopithecus
Primates,Ceboidea,Alouatta_caraya,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_discolor,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_guariba,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_palliata,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_pigra,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_sara,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Alouatta_seniculus,G,G,G,G,G,G,NA,NA,Alouatta
Primates,Ceboidea,Aotus_azarae,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Aotus_nigriceps,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Aotus_zonalis,P,P,P,P,P,P,NA,NA,Aotus
Primates,Ceboidea,Ateles_belzebuth,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_chamek,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_geoffroyi,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_hybridus,G,G,G,G,G,G,NA,NA,Ateles
Primates,Ceboidea,Ateles_marginatus,G,G,G,G,G,G,NA,NA,Ateles
Primates,Lemuroidea,Avahi_laniger,P,P,P,P,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_meridionalis,P,NA,P,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_occidentalis,P,P,P,P,NA,NA,NA,NA,Avahi
Primates,Ceboidea,Brachyteles_arachnoides,G,G,G,G,G,G,NA,NA,Brachyteles
Primates,Ceboidea,Brachyteles_hypoxanthus,G,G,G,G,G,G,NA,NA,Brachyteles
Primates,Ceboidea,Cacajao_calvus,G,G,G,G,G,G,NA,NA,Cacajao
Primates,Ceboidea,Cacajao_melanocephalus,G,G,G,G,G,G,NA,NA,Cacajao
Primates,Ceboidea,Callicebus_coimbrai,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_melanochir,P,P,P,P,P,P,NA,NA,Callicebus
Primates,Ceboidea,Callicebus_nigrifrons,P,P,P,P,P,P,NA,NA,Callicebus
