Order,Superfamily,Species,character_data
Primates,Lemuroidea,Allocebus_trichotis,G
Primates,Cercopithecoidea,Cercopithecus_preussi,G
Primates,Ceboidea,Alouatta_caraya,G
Primates,Ceboidea,Alouatta_discolor,G
Primates,Ceboidea,Alouatta_guariba,G
Primates,Ceboidea,Alouatta_palliata,G
Primates,Ceboidea,Alouatta_pigra,G
Primates,Ceboidea,Alouatta_sara,G
Primates,Ceboidea,Alouatta_seniculus,G
Primates,Ceboidea,Aotus_azarae,P
Primates,Ceboidea,Aotus_nigriceps,P
Primates,Ceboidea,Aotus_zonalis,P
Primates,Ceboidea,Ateles_belzebuth,G
Primates,Ceboidea,Ateles_chamek,G
Primates,Ceboidea,Ateles_geoffroyi,G
Primates,Ceboidea,Ateles_hybridus,G
Primates,Ceboidea,Ateles_marginatus,G
Primates,Lemuroidea,Avahi_laniger,P
Primates,Lemuroidea,Avahi_meridionalis,P
Primates,Lemuroidea,Avahi_occidentalis,P
Primates,Ceboidea,Brachyteles_arachnoides,G
Primates,Ceboidea,Brachyteles_hypoxanthus,G
Primates,Ceboidea,Cacajao_calvus,G
Primates,Ceboidea,Cacajao_melanocephalus,G
Primates,Ceboidea,Callicebus_coimbrai,P
Primates,Ceboidea,Callicebus_melanochir,P
Primates,Ceboidea,Callicebus_nigrifrons,P
Primates,Ceboidea,Callicebus_personatus,P
Primates,Ceboidea,Callimico_goeldii,P
Primates,Ceboidea,Callithrix_aurita,G
Primates,Ceboidea,Callithrix_flaviceps,G
Primates,Ceboidea,Callithrix_jacchus,G
Primates,Ceboidea,Callithrix_penicillata,G
Primates,Ceboidea,Cebus_albifrons,G
Primates,Ceboidea,Cebus_albifrons,G
Primates,Ceboidea,Cebus_capucinus,G
Primates,Ceboidea,Cebus_kaapori,G
Primates,Ceboidea,Cebus_olivaceus,G
Primates,Cercopithecoidea,Cercocebus_agilis,G
Primates,Cercopithecoidea,Cercocebus_atys,G
Primates,Cercopithecoidea,Cercocebus_galeritus,G
Primates,Cercopithecoidea,Cercocebus_atys,G
Primates,Cercopithecoidea,Cercocebus_sanjei,G
Primates,Cercopithecoidea,Cercocebus_torquatus,G
Primates,Cercopithecoidea,Cercopithecus_ascanius,G
Primates,Cercopithecoidea,Cercopithecus_campbelli,G
Primates,Cercopithecoidea,Cercopithecus_cephus,P
Primates,Cercopithecoidea,Cercopithecus_pogonias,G
Primates,Cercopithecoidea,Cercopithecus_diana,G
Primates,Cercopithecoidea,Cercopithecus_erythrogaster,G
Primates,Cercopithecoidea,Cercopithecus_campbelli,G
Primates,Cercopithecoidea,Cercopithecus_mitis,G
Primates,Cercopithecoidea,Cercopithecus_mona,G
Primates,Cercopithecoidea,Cercopithecus_neglectus,P
Primates,Cercopithecoidea,Cercopithecus_nictitans,G
Primates,Cercopithecoidea,Cercopithecus_petaurista,G
Primates,Cercopithecoidea,Cercopithecus_diana,G
Primates,Lemuroidea,Cheirogaleus_major,P
Primates,Lemuroidea,Cheirogaleus_medius,P
Primates,Ceboidea,Callicebus_lugens,P
Primates,Ceboidea,Callicebus_torquatus,P
Primates,Ceboidea,Chiropotes_satanas,G
Primates,Cercopithecoidea,Chlorocebus_aethiops,G
Primates,Cercopithecoidea,Chlorocebus_pygerythrus,G
Primates,Cercopithecoidea,Colobus_angolensis,G
Primates,Cercopithecoidea,Colobus_guereza,G
Primates,Cercopithecoidea,Colobus_polykomos,G
Primates,Cercopithecoidea,Colobus_satanas,G
Primates,Cercopithecoidea,Colobus_vellerosus,G
Primates,Lemuroidea,Daubentonia_madagascariensis,S
Primates,Cercopithecoidea,Erythrocebus_patas,G
Primates,Lemuroidea,Eulemur_collaris,G
Primates,Lemuroidea,Eulemur_flavifrons,G
Primates,Lemuroidea,Eulemur_fulvus,G
Primates,Lemuroidea,Eulemur_macaco,G
Primates,Lemuroidea,Eulemur_mongoz,P
Primates,Lemuroidea,Eulemur_rubriventer,P
Primates,Lemuroidea,Eulemur_rufifrons,G
Primates,Lemuroidea,Eulemur_rufus,G
Primates,Lorisoidea,Galagoides_zanzibaricus,P
Primates,Hominoidea,Gorilla_beringei,G
Primates,Hominoidea,Gorilla_gorilla,G
Primates,Lemuroidea,Hapalemur_alaotrensis,P
Primates,Lemuroidea,Hapalemur_aureus,P
Primates,Lemuroidea,Hapalemur_griseus,G
Primates,Lemuroidea,Hapalemur_meridionalis,G
Primates,Hominoidea,Hoolock_hoolock,P
Primates,Hominoidea,Hoolock_leuconedys,P
Primates,Hominoidea,Hylobates_agilis,P
Primates,Hominoidea,Hylobates_albibarbis,P
Primates,Hominoidea,Hylobates_muelleri,P
Primates,Hominoidea,Hylobates_klossii,P
Primates,Hominoidea,Hylobates_lar,P
Primates,Hominoidea,Hylobates_moloch,P
Primates,Hominoidea,Hylobates_muelleri,P
Primates,Hominoidea,Hylobates_pileatus,P
Primates,Lemuroidea,Indri_indri,P
Primates,Ceboidea,Oreonax_flavicauda,G
Primates,Ceboidea,Lagothrix_lagotricha,G
Primates,Ceboidea,Lagothrix_poeppigii,G
Primates,Lemuroidea,Lemur_catta,G
Primates,Ceboidea,Leontopithecus_caissara,P
Primates,Ceboidea,Leontopithecus_chrysopygus,P
Primates,Ceboidea,Leontopithecus_rosalia,P
Primates,Lemuroidea,Lepilemur_edwardsi,P
Primates,Lemuroidea,Lepilemur_leucopus,P
Primates,Lemuroidea,Lepilemur_mustelinus,S
Primates,Lemuroidea,Lepilemur_ruficaudatus,P
Primates,Cercopithecoidea,Lophocebus_albigena,G
Primates,Lorisoidea,Loris_lydekkerianus,S
Primates,Cercopithecoidea,Macaca_arctoides,G
Primates,Cercopithecoidea,Macaca_assamensis,G
Primates,Cercopithecoidea,Macaca_cyclopis,G
Primates,Cercopithecoidea,Macaca_fascicularis,G
Primates,Cercopithecoidea,Macaca_fuscata,G
Primates,Cercopithecoidea,Macaca_leonina,G
Primates,Cercopithecoidea,Macaca_maura,G
Primates,Cercopithecoidea,Macaca_mulatta,G
Primates,Cercopithecoidea,Macaca_munzala,G
Primates,Cercopithecoidea,Macaca_nemestrina,G
Primates,Cercopithecoidea,Macaca_nigra,G
Primates,Cercopithecoidea,Macaca_radiata,G
Primates,Cercopithecoidea,Macaca_siberu,G
Primates,Cercopithecoidea,Macaca_silenus,G
Primates,Cercopithecoidea,Macaca_sinica,G
Primates,Cercopithecoidea,Macaca_sylvanus,G
Primates,Cercopithecoidea,Macaca_thibetana,G
Primates,Cercopithecoidea,Macaca_tonkeana,G
Primates,Cercopithecoidea,Mandrillus_leucophaeus,G
Primates,Cercopithecoidea,Mandrillus_sphinx,G
Primates,Ceboidea,Mico_argentatus,P
Primates,Lemuroidea,Microcebus_murinus,S
Primates,Lemuroidea,Microcebus_ravelobensis,S
Primates,Cercopithecoidea,Miopithecus_talapoin,G
Primates,Lemuroidea,Mirza_coquereli,S
Primates,Cercopithecoidea,Nasalis_larvatus,G
Primates,Hominoidea,Nomascus_concolor,G
Primates,Hominoidea,Nomascus_gabriellae,P
Primates,Hominoidea,Nomascus_hainanus,G
Primates,Hominoidea,Nomascus_nasutus,G
Primates,Lorisoidea,Nycticebus_coucang,S
Primates,Lorisoidea,Otolemur_crassicaudatus,S
Primates,Lorisoidea,Otolemur_garnettii,S
Primates,Hominoidea,Pan_paniscus,G
Primates,Hominoidea,Pan_troglodytes,G
Primates,Cercopithecoidea,Papio_anubis,G
Primates,Cercopithecoidea,Papio_cynocephalus,G
Primates,Cercopithecoidea,Papio_hamadryas,G
Primates,Cercopithecoidea,Papio_papio,G
Primates,Cercopithecoidea,Papio_ursinus,G
Primates,Lorisoidea,Perodicticus_potto,S
Primates,Lemuroidea,Phaner_furcifer,P
Primates,Cercopithecoidea,Procolobus_badius,G
Primates,Cercopithecoidea,Procolobus_kirkii,G
Primates,Cercopithecoidea,Procolobus_rufomitratus,G
Primates,Cercopithecoidea,Procolobus_rufomitratus,G
Primates,Ceboidea,Pithecia_aequatorialis,P
Primates,Ceboidea,Pithecia_chrysocephala,G
Primates,Ceboidea,Pithecia_irrorata,G
Primates,Ceboidea,Pithecia_pithecia,P
Primates,Ceboidea,Callicebus_discolor,P
Primates,Ceboidea,Callicebus_oenanthe,P
Primates,Hominoidea,Pongo_pygmaeus,S
Primates,Cercopithecoidea,Presbytis_comata,P
Primates,Cercopithecoidea,Presbytis_frontata,P
Primates,Cercopithecoidea,Presbytis_hosei,P
Primates,Cercopithecoidea,Presbytis_melalophos,G
