dataset,phylo,name,value,outgroup,prop,ypos
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ no outgroup",S,0.29814447787885484,no outgroup,0.29814447787885484,0.14907223893942742
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ no outgroup",P,0.6728875293231816,no outgroup,0.6728875293231816,0.6345882425404457
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ no outgroup",G,0.02896799279796355,no outgroup,0.02896799279796355,0.9855160036010182
Lukas & Clutton-Brock 3 state,"Kuderna et al phylogeny
+ no outgroup",S,0.9608708765819058,no outgroup,0.9608708765819058,0.4804354382909529
Lukas & Clutton-Brock 3 state,"Kuderna et al phylogeny
+ no outgroup",P,0.03782897133244388,no outgroup,0.03782897133244388,0.9797853622481278
Lukas & Clutton-Brock 3 state,"Kuderna et al phylogeny
+ no outgroup",G,0.0013001520856503,no outgroup,0.0013001520856503,0.9993499239571748
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ no outgroup",S,7.659417172995306e-10,no outgroup,7.659417172995306e-10,3.829708586497653e-10
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ no outgroup",P,0.00687542327890978,no outgroup,0.00687542327890978,0.0034377124053966072
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ no outgroup",G,0.9931245759551484,no outgroup,0.9931245759551484,0.5034377120224257
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ no outgroup",P,0.7945478908591085,no outgroup,0.7945478908591085,0.39727394542955424
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ no outgroup",G,0.06100289383849901,no outgroup,0.06100289383849901,0.825049337778358
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ no outgroup",D-P,2.016505116100093e-4,no outgroup,2.016505116100093e-4,0.8556516099534125
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ no outgroup",D-G,0.14424756479078252,no outgroup,0.14424756479078252,0.9278762176046087
Olivier et al 3 state,"Kuderna et al phylogeny
+ no outgroup",S,0.23593670711472156,no outgroup,0.23593670711472156,0.11796835355736078
Olivier et al 3 state,"Kuderna et al phylogeny
+ no outgroup",P,0.7295528712318741,no outgroup,0.7295528712318741,0.6007131427306587
Olivier et al 3 state,"Kuderna et al phylogeny
+ no outgroup",G,0.03451042165340441,no outgroup,0.03451042165340441,0.9827447891732978
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ outgroup",S,0.03910086982099658,outgroup,0.03910086982099658,0.01955043491049829
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ outgroup",P,0.4345718003282667,outgroup,0.4345718003282667,0.25638676998512994
Kappeler & Pozzi 3 state,"Kuderna et al phylogeny
+ outgroup",G,0.5263273298507367,outgroup,0.5263273298507367,0.7368363350746316
Lukas & Clutton-Brock 3 state,"Kuderna et al phylogeny
+ outgroup",P,0.8080492189010366,outgroup,0.8080492189010366,0.4040246094505183
Lukas & Clutton-Brock 3 state,"Kuderna et al phylogeny
+ outgroup",G,0.19195078109896332,outgroup,0.19195078109896332,0.9040246094505183
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ outgroup",S,6.997984876446724e-6,outgroup,6.997984876446724e-6,3.498992438223362e-6
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ outgroup",P,0.03690592648244023,outgroup,0.03690592648244023,0.018459961226096562
Müller & Thalmann 3 state,"Kuderna et al phylogeny
+ outgroup",G,0.9630870755326834,outgroup,0.9630870755326834,0.5184564622336583
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ outgroup",P,0.3288650609768182,outgroup,0.3288650609768182,0.1644325304884091
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ outgroup",G,0.6576174671871324,outgroup,0.6576174671871324,0.6576737945703844
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ outgroup",D-P,5.033008312081129e-4,outgroup,5.033008312081129e-4,0.9867341785795547
Müller & Thalmann 5 state,"Kuderna et al phylogeny
+ outgroup",D-G,0.01301417100484133,outgroup,0.01301417100484133,0.9934929144975794
Olivier et al 3 state,"Kuderna et al phylogeny
+ outgroup",S,0.04027676480722778,outgroup,0.04027676480722778,0.02013838240361389
