rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
1,1,1,53,fitSYM,0,0,0.02245259921777235,0.7014252999518467,0.276122100830381,Kuderna et al
2,1,1,68,fitSYM,0,0,0.037862974005237096,0.35440702007893243,0.6077300059158305,Olivier et al
3,1,2,53,fitSYM,0,0,0.03159754369761697,0.6357422599437939,0.3326601963585893,Kuderna et al
4,1,2,68,fitSYM,0,0,0.06264679005380078,0.27665841948325,0.6606947904629492,Olivier et al
5,1,3,53,fitSYM,0,0,0.021294845053622256,0.8953010656146223,0.08340408933175546,Kuderna et al
6,1,3,68,fitSYM,0,0,0.024689405232810064,0.19684602096194992,0.77846457380524,Olivier et al
7,1,4,53,fitSYM,0,0,0.02129484517395373,0.8953010654144676,0.08340408941157856,Kuderna et al
8,1,4,68,fitSYM,0,0,0.04589444386745231,0.350723758213282,0.6033817979192657,Olivier et al
9,1,5,53,fitSYM,0,0,0.07771594270244075,0.808913014480239,0.11337104281732034,Kuderna et al
10,1,5,68,fitSYM,0,0,0.017545712138038846,0.1857765490306767,0.7966777388312845,Olivier et al
11,1,6,53,fitSYM,0,0,0.055327702114384585,0.8430156458629904,0.10165665202262504,Kuderna et al
12,1,6,68,fitSYM,0,0,0.06137467076655475,0.3105665264417907,0.6280588027916546,Olivier et al
13,1,7,53,fitSYM,0,0,0.02245259922155997,0.7014252999820872,0.27612210079635285,Kuderna et al
14,1,7,68,fitSYM,0,0,0.051251655008272105,0.3508201566602381,0.5979281883314899,Olivier et al
15,1,8,53,fitSYM,0,0,0.03350244255941595,0.8725714584294979,0.0939260990110862,Kuderna et al
16,1,8,68,fitSYM,0,0,0.0405907426215025,0.35755608224068625,0.6018531751378113,Olivier et al
17,1,9,53,fitSYM,0,0,0.01132267170157043,0.7128433136951642,0.27583401460326534,Kuderna et al
18,1,9,68,fitSYM,0,0,0.05785059706187737,0.32921253485566765,0.612936868082455,Olivier et al
19,1,10,53,fitSYM,0,0,0.038857720760525086,0.8718467743515201,0.08929550488795489,Kuderna et al
20,1,10,68,fitSYM,0,0,0.06327996669544778,0.32479469862414195,0.6119253346804102,Olivier et al
21,1,11,53,fitSYM,0,0,0.03885772075190748,0.8718467743663568,0.08929550488173568,Kuderna et al
